Item ID,SKU,Batch ID,Shelf,Sequence,Rare flag,Review flag,Title,Release year,Edition,Distributor,Barcode,Condition,Condition notes,Price,Discount percent,Quantity,Tags,Product type,Vendor,Description,Image folder,Image count,Recognition provider,Recognition confidence,Review status,Ready status,Validation errors,Shopify status,Shopify product ID,Shopify variant ID,Shopify inventory item ID,Shopify admin URL,Last error,Retry count
20260725-093234-A1-011,20260725-093234-A1-011,20260725-093234,A1,11,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-012,20260725-093234-A1-012,20260725-093234,A1,12,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-013,20260725-093234-A1-013,20260725-093234,A1,13,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-014,20260725-093234-A1-014,20260725-093234,A1,14,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-015,20260725-093234-A1-015,20260725-093234,A1,15,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-016,20260725-093234-A1-016,20260725-093234,A1,16,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-017,20260725-093234-A1-017,20260725-093234,A1,17,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-018,20260725-093234-A1-018,20260725-093234,A1,18,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-019,20260725-093234-A1-019,20260725-093234,A1,19,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-020,20260725-093234-A1-020,20260725-093234,A1,20,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
